Year,January,February,March,April,May,June,July,August,September,October,November,December
1881,60.6,88.6,85.8,86.1,72.5,100.8,128.2,97.3,88.6,107.3,91.5,78.8
1882,75,115.9,111.5,159.6,106.9,75.4,75.7,67.5,96.1,98.6,140.6,69.7
1883,101,78.2,71.3,136.8,52.5,127.2,134.4,76.6,87.8,139.6,140.8,126.5
1884,152.6,144.8,145.8,126.9,110.9,85.3,88.5,93.1,103.1,79.6,60.9,78.6
1885,71.4,119.7,82.9,91.7,121.6,139.5,110.9,83.5,66,64.5,51.6,36.3
1886,49.8,43.2,95.5,72.9,51.2,45.3,50.4,28.1,35.7,14.4,0.6,21.7
1887,17,22,7.1,11.6,33.4,26.1,38.9,35.7,12.4,11,11.5,34.5
1888,21.2,11.8,13.1,8.5,11.7,11.8,5,4.6,14.6,3.4,17.9,11.1
1889,1.3,14.2,11.1,7.3,4,10.8,15.8,34.3,10.9,3.4,0.3,11.2
1890,8.8,1.1,8.5,2.7,7.9,2.2,19.3,14.2,28.6,18.6,15.9,13.1
1891,22.5,36.9,17.2,34.2,68.5,80.4,98,55.1,89.7,86,69.8,54.3
1892,115.2,126.1,83.3,116,132.7,127.3,127.6,169,104.7,117.5,108.9,131
1893,125,121.6,109.5,146.8,141.3,149.8,147.6,215.4,129.9,133.3,125.2,156.4
1894,138.6,141,87.1,136,168.7,164.8,176.7,117.1,110,125.7,94.3,100.1
1895,105.4,112,101.6,128.2,112.5,119.1,79.7,114.9,96.1,113.2,78.6,117.9
1896,48.4,95.7,86.5,73,46.1,81.7,75.2,45.4,102.2,47.9,63.3,71
1897,67.6,49,48.7,51.7,33.3,18.9,46.1,36.4,80.4,23.9,14,55.5
1898,50.4,60.7,63.9,24.2,43,37.1,15,52.3,58.1,57.1,51.6,21.1
1899,32.4,15.3,30.3,23.6,12.9,34.1,22.5,4.9,14,21.7,13,17.6
1900,15.7,22.8,14.4,26.8,25.3,20.1,13.9,7.1,13.9,21.6,7.5,0.5
1901,0.4,4,7.4,0,17,9.7,1.2,1.7,0.9,6.3,6.4,0
1902,9.3,0,20.7,0,4.7,2.4,1.5,3.8,12.6,27.2,17.2,1.8
1903,13.9,28.4,22.5,43.5,24.3,27.2,46.4,48,18.5,64.8,74.2,76.2
1904,52.6,40.8,61.9,71.6,65.7,69.8,84.3,97.1,50.2,90.4,63.4,91.1
1905,91.2,143,94.3,65.5,79.9,81.6,121.6,98.1,91.8,131.2,178.7,92.5
1906,75.8,52.3,107.4,92.2,96.2,105.3,172.7,79.6,93.5,29.7,64.8,108
1907,127.4,180.3,101.1,87.6,71.4,67.2,82.9,90.5,141.7,109.1,102.5,78.9
1908,65.4,56.6,47.9,96.1,68,80.2,65.8,150.9,144.9,53.9,75.9,65.9
1909,94.6,77.6,110.5,53.7,60,37.8,59.6,38.5,64.7,97.4,93,90.2
1910,44,52.5,35.7,14.1,36.9,20.5,23.5,19.3,43.7,63.9,8.3,9.6
1911,5.6,15,13,27.6,15.1,3.7,5.9,6.7,6.7,4.5,7,3.7
1912,0.4,0,8.2,7.6,7.4,6.9,4.9,0.5,15.9,7.6,1.9,10.6
1913,3.8,4.8,0.8,1.6,0,0,2.9,0.4,2,5.2,1.2,6.3
1914,4.7,4.4,5.3,28.9,8.7,19.1,9.1,12.9,21.2,13.7,27.3,37.3
1915,38.5,70.4,64.8,68.9,55.1,114.7,119.4,116,82.4,89.1,70.9,57.5
1916,75.5,92.4,111.7,119.8,124,112.9,89.3,58.6,75.1,84.5,109.5,88.3
1917,124.5,119.9,158,124.6,190.2,191.4,199.7,257.7,215.6,120.3,160.7,215.5
1918,160,108.7,120.4,134.1,127.9,99,179.5,169.6,133.2,141.7,139,98.5
1919,80.2,132.5,110.9,86.3,146.9,185.3,107.8,115.1,91.1,88,69.9,58
1920,85.3,89.8,116.9,24.7,55.4,64.6,45.7,31.9,60.5,82.7,45.3,49.8
1921,52.5,47.1,44.5,54,37,56.2,69.7,38,29.6,30.3,29.6,33.9
1922,19.7,43.9,91.3,18.3,13.4,9.8,18.3,10.9,7.8,10.4,12.2,29
1923,7.5,2.5,5.5,10.2,5.3,15.3,5.9,0.8,22.1,19.5,16.7,4.6
1924,0.8,8.5,3,18.9,34.6,40,46.9,32.1,41.9,42.6,37.5,27.5
1925,9.1,38.6,30,53,71.4,79.1,64.2,63.3,100.3,115.3,97.6,164.4
1926,119.7,116.4,104.2,64.2,107,122.4,87.2,102.7,101.4,119.3,100.8,132.4
1927,136,155.1,116.1,155.8,131.9,98.5,91.6,89.6,114.1,105.2,112.1,75.3
1928,139.2,122.4,142.4,134.3,128.3,152.4,163.4,139.6,149.6,102.3,83.9,98.3
1929,114.8,104.7,83.8,87.9,97,119.9,117.1,109.6,57.3,90.1,135.1,179.9
1930,108.8,83.1,58.4,63.7,61.4,48,36.5,41.5,53.5,57.2,59.4,43
1931,24.4,71.8,50.1,52,40.8,25.5,29,21.6,31.7,16.6,31.2,29.7
1932,20.1,17.6,18.8,18.7,29.7,36.9,16,11.3,6.6,14.8,13.7,18.5
1933,20.4,36.9,16.8,4.9,5.3,8.7,4.7,0.4,8.5,5,1,0.4
1934,5.7,12.9,7.2,18.8,32.9,11.2,15.3,13.9,6.7,9.5,14.5,25.7
1935,31.1,34.1,38.5,20.4,45.4,76.2,56.5,50.2,70.1,88.7,107,102.5
1936,104.7,123.9,128.4,124.8,90.9,116.7,87.2,145,126.7,148.2,192.3,205.6
1937,220.9,214.1,139.7,182.2,194.4,217.1,241.8,229.5,167.9,208.2,123.9,147.9
1938,164,198.6,144.2,168.4,212.3,162.6,275.6,192.8,149.3,165.3,203.6,154.7
1939,133.9,129,107.8,181.9,197.3,168.3,162.6,176.3,187.7,146.9,113.7,70.2
1940,84.1,99.1,138.9,101.1,90.6,139.8,112.5,175.9,110.8,91.5,97.4,113.8
1941,76.1,74.3,77.5,54.6,49,99.6,111.4,100.1,109.8,77.2,64,56.2
1942,59.5,87.9,90.4,101.2,41.8,18.9,29.6,33.7,28.7,32,51.3,37.6
1943,20.7,48.1,45.7,43.5,23.6,12.7,22,32.3,16.7,13,17,31.4
1944,6.1,0.8,18.3,0.4,4.1,8.2,8.5,27.9,23.7,28.1,17.9,47.4
1945,30.8,21.2,35.9,53.4,51,60.2,71,43.1,58.1,114.5,76.6,45.7
1946,79.3,143.8,127.7,126.1,141.6,122.6,193.7,178.7,157.4,170.5,206.3,202.9
1947,163.7,188.9,183.8,212.1,285,232.1,223.5,267.4,239.9,231.7,181.3,164.9
1948,153.6,122,134.3,268.5,246.4,237.5,201.4,223.7,202.9,192.9,135.6,195.3
1949,168.6,258,223,208.1,150.4,172.4,178.3,175.3,205.8,186.3,203.2,166.6
1950,143.9,134.3,155.4,160.6,150.5,118.3,128.9,120.6,72.7,87,77.7,76.7
1951,85,84.8,79.3,131.7,153.7,142.4,87.2,86.5,117.7,73.3,74.2,65
1952,57.9,32.4,31.5,41.7,33.6,52,56.1,77.8,40.4,34.2,31.8,48.9
1953,37.9,5.9,14.7,39.6,18.3,31.5,12.7,33.6,28,12.3,2.5,3.9
1954,0.4,0.8,15.8,2.7,1.2,0.4,7.3,12.6,2.3,10.5,13.4,11.3
1955,33.4,29.9,7.3,16.4,41.3,45.2,38.2,58,60.8,83,126.3,108.8
1956,104.1,175.6,167.7,156.7,193.4,165.1,182.7,240.2,245.4,219.9,285,272
1957,233.7,184.5,222.8,248,233,284.3,265.1,223.7,334,359.4,298.6,339
1958,286.7,233.6,270,277.6,248.2,242.9,271,283.5,285.1,256.9,215.6,265.7
1959,307.7,202.6,263,231.3,243.6,238.9,211.9,282.6,205.6,157.7,175.6,177.1
1960,207.2,149.9,144.6,172.7,169.3,156,172.4,190,180.1,117.3,126.9,121.2
1961,82.1,65.4,75.2,86.9,72.3,109.5,99.3,79.2,90.1,53.7,46.5,56.9
1962,55.1,71.7,64.9,65.9,61.9,59.6,31.4,31.5,72.7,56.1,38.8,33.2
1963,28.7,35.2,24.8,41.7,61.1,51.2,28.7,47.5,55.2,50.1,33.7,21.6
1964,22.6,25.3,24.1,12.9,14.3,13.5,4.8,13.8,7,9.2,11.1,22.1
1965,25.4,20.8,17.5,10.2,34.5,23.3,17.3,13.3,24.5,29.1,22.8,24.7
1966,40.3,35.3,36.4,69,64.2,67.7,80.2,72.6,71.1,81.2,81,99.8
1967,157,132.6,158.3,98.4,122.5,95.4,129.5,151.8,108.7,125,133.6,179
1968,172.5,158.5,130.5,115,180,156.2,136.2,154.8,166,152.5,121.7,155.5
1969,147.8,170.5,192.3,151.1,169.9,150.1,137.1,138.8,129.3,135.4,132.4,138.6
1970,157.9,180.8,145.7,155.1,180.5,151.3,159.3,131.7,140.8,122.6,134.8,118.2
1971,129.2,111.8,85.9,101.6,81.5,70.7,114.7,87,71.3,73.4,89.5,116.5
1972,87,125.3,113.5,89.6,113.9,124.7,108.3,108.9,90.7,86.9,59.2,64.3
1973,61.8,60.9,65.4,81.8,60.3,56.1,33.2,36.6,84.1,43.7,34.3,33.3
1974,39.4,37.3,30.9,57.5,56.3,51.5,79.1,47.9,57.2,67.2,35.9,29.6
1975,27.3,16.7,16.9,7.7,13.1,16.7,40.4,56.7,20.3,13.6,27.9,11.6
1976,11.9,6.4,31.5,27.3,18.2,17.9,2.9,24.1,20,29.7,7.9,22.3
1977,23.8,33.3,13,19,27,54.9,30.6,43,62.4,62.1,41.6,61.4
1978,73.7,132.6,108.4,141.2,117.1,134.6,99.7,82.4,195.7,177.1,138.5,173.9
1979,235.9,194.7,195.3,143.7,190.3,211.7,225.7,201.4,266.9,263.6,259.5,249.6
1980,226.1,219.4,178.7,232.2,254.7,222.7,192.9,191.7,219.6,233.3,209.5,246.9
1981,156.6,189.9,196.6,225.3,194.7,131.6,205.3,242.5,245.3,216.2,186,195.4
1982,149.8,230.9,221.1,170.3,119.3,163.7,139.4,161.9,167.4,134.3,127.5,169
1983,115.5,73.1,88.7,109.6,132.5,131.5,108.9,96,69.9,72.5,45.7,45.6
1984,74.8,110.2,116.7,90.4,96.9,65.1,55.7,35,22.6,12.6,26.5,21.4
1985,17.8,20.7,16.9,20.4,32.4,28.3,39.9,10.1,4.3,22,17.9,15.8
1986,2.8,27.9,13.8,22.4,16.1,0.6,18.1,9.9,5.1,40.1,15.4,5.8
1987,9.8,3.4,17.4,46,39.1,18.8,38.2,47.9,42.2,63.4,48.8,29.1
1988,70.5,45.4,91.2,108.8,74.2,124.3,131.4,139.4,142.7,156.5,156.8,231.2
1989,210.1,208.7,170.4,166.3,195.4,284.5,180.5,232,225.1,212.2,238.2,211.4
1990,227.4,171.8,191.7,189.7,175.2,153.3,191.1,252.1,169.1,199.4,178.8,197.1
1991,195.3,240.3,197,197.6,166.9,224.7,240.2,240.8,168.9,197.1,159.5,212.6
1992,198.3,230.7,151,142.2,94.3,98.5,114.2,91.9,94,133.4,129.6,122
1993,81.4,127.8,102.4,94.4,78.8,69.6,80.4,62.5,31.2,71.1,48.2,68.4
1994,84.9,54.9,47.5,27.4,29.8,39.7,50.6,34.3,40.5,67.1,29.5,32.2
1995,32.6,45.8,46.3,21.6,19.4,22.5,20.4,18.2,15.7,30.6,14,14.9
1996,13.3,7.7,12.6,6.8,7.6,16.5,11.8,19.7,3,0.7,24.9,14
1997,7.4,11,12.1,23,25.4,20.8,12.9,35.7,59.7,32.8,50.4,55.5
1998,44.5,50.2,82,70.6,74,90.5,96.7,121.1,132,78.5,97.3,119.2
1999,86,98,103.5,93.6,149.6,207.2,173.5,142.3,106.3,168.7,188.3,116.8
2000,133.1,165.7,217.7,191.5,165.9,188,244.3,180.5,156,141.6,158.1,143.3
2001,142.6,121.5,165.8,161.7,142.1,202.9,123,161.5,238.2,194.1,176.6,213.4
2002,184.6,170.2,147.1,186.9,187.5,128.8,161,175.6,187.9,151.2,147.2,135.3
2003,133.5,75.7,100.7,97.9,86.8,118.7,128.3,115.4,78.5,97.8,82.9,72.2
2004,60.6,74.6,74.8,59.2,72.8,66.5,83.8,69.7,48.8,74.2,70.1,28.9
2005,48.1,43.5,39.6,38.7,61.9,56.8,62.4,60.5,37.2,13.2,27.5,59.3
2006,20.9,5.7,17.3,50.3,37.2,24.5,22.2,20.8,23.7,14.9,35.7,22.3
2007,29.3,18.4,7.2,5.4,19.5,21.3,15.1,9.8,4,1.5,2.8,17.3
2008,4.1,2.9,15.5,3.6,4.6,5.2,0.6,0.3,1.2,4.2,6.6,1
2009,1.3,1.2,0.6,1.2,2.9,6.3,5.5,0,7.1,7.7,6.9,16.3
2010,19.5,28.5,24,10.4,13.9,18.8,25.2,29.6,36.4,33.6,34.4,24.5
2011,27.3,48.3,78.6,76.1,58.2,56.1,64.5,65.8,120.1,125.7,139.1,109.3
2012,94.4,47.8,86.6,85.9,96.5,92,100.1,94.8,93.7,76.5,87.6,56.8
2013,96.1,60.9,78.3,107.3,120.2,76.7,86.2,91.8,54.5,114.4,113.9,124.2
2014,117,146.1,128.7,112.5,112.5,102.9,100.2,106.9,130,90,103.6,112.9
2015,93,66.7,54.5,75.3,88.8,66.5,65.8,64.4,78.6,63.6,62.2,58
2016,57,56.4,54.1,37.9,51.5,20.5,32.4,50.2,44.6,33.4,21.4,18.5
2017,26.1,26.4,17.7,32.3,18.9,19.2,17.8,32.6,43.7,13.2,5.7,8.2
2018,6.8,10.7,2.5,8.9,13.1,15.6,1.6,8.7,3.3,4.9,4.9,3.1
2019,7.7,0.8,9.4,9.1,9.9,1.2,0.9,0.5,1.1,0.4,0.5,1.5
2020,6.2,0.2,1.5,5.2,0.2,5.8,6.1,7.5,0.6,14.6,34.5,23.1
2021,10.4,8.2,17.2,24.5,21.2,25,34.3,22,51.3,37.4,34.8,67.5
2022,55.3,60.9,78.6,84,96.5,70.3,91.4,74.6,96,95.5,80.5,112.8
2023,144.4,111.3,123.3,97.6,137.4,160.5,160,114.8,134.2,99.9,107.1,113.5
2024,126,123,103.7,137,172.1,164.1,196.8,216,141.1,165.8,154.1,154.6
